id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5695096,STAY in FLORENCE S. Maria Novella,14202055,M&B Florence,,Centro Storico,43.77937,11.24339,Entire home/apt,169,3,19,2017-04-15,0.24,7,77,0,
5699519,FANTASTIC APARTMENT NORTH FLORENCE !,11808313,Andrea,,Rifredi,43.79782,11.17377,Entire home/apt,51,1,131,2019-09-26,1.64,1,354,7,
5703006,:-)Uffizi Central Vintage Apartment,29567322,Emanuela,,Centro Storico,43.76742,11.25877,Entire home/apt,56,3,59,2019-11-21,0.75,2,260,0,
5703757,PONTE VECCHIO Guelfo -Bright 3 bedroom w/ Balcony,4156491,Apartments Florence,,Centro Storico,43.76753,11.2526,Entire home/apt,420,3,37,2019-08-16,0.79,136,274,0,048017LTN3979
5704167,Cozy studio in historical center,29504887,Marco,,Centro Storico,43.77539,11.25154,Entire home/apt,63,3,249,2021-10-06,3.18,2,283,13,
5706489,M&B HOUSE 4 - Center of Firenze,14202055,M&B Florence,,Centro Storico,43.7811,11.24559,Private room,37,2,396,2021-07-31,5.01,7,81,26,
5707519,Huge Apartment With Monument View,28082696,Caterina,,Centro Storico,43.774834,11.252489,Entire home/apt,400,4,2,2015-08-09,0.03,3,42,0,
5708327,Cozy studio apartment,4338482,Laura,,Centro Storico,43.78518,11.23139,Entire home/apt,51,2,15,2019-01-03,0.19,1,327,0,
5711212,M&B HOUSE 1 - Santa Maria Novella,14202055,M&B Florence,,Centro Storico,43.78116,11.24328,Private room,43,2,397,2021-09-23,5.04,7,81,42,
5714526,Apartment in the very center!,29504887,Marco,,Centro Storico,43.77569,11.25158,Entire home/apt,58,3,196,2021-10-16,2.70,2,334,11,
5724515,"B&B Prestigia ""Antinori Room""",29680504,Prestigia,,Centro Storico,43.77165,11.25385,Private room,641,1,2,2016-11-30,0.03,5,0,0,
5724593,"B&B Prestigia ""Ricasoli Room""",29680504,Prestigia,,Centro Storico,43.77322,11.25368,Private room,641,1,1,2017-02-05,0.02,5,258,0,
5724665,"B&B Prestigia "" Medici Room""",29680504,Prestigia,,Centro Storico,43.77132,11.25359,Private room,584,1,1,2016-07-09,0.02,5,0,0,
5724737,"B&B Prestigia ""Frescobaldi Room""",29680504,Prestigia,,Centro Storico,43.77247,11.25453,Private room,641,1,3,2015-05-26,0.05,5,0,0,
5724977,"B&B Prestigia ""Cavalcanti Room""",29680504,Prestigia,,Centro Storico,43.77337,11.25544,Private room,529,1,2,2017-01-07,0.03,5,0,0,
5725086,Uffizi apartment,5700221,Federico,,Centro Storico,43.76836,11.2552,Entire home/apt,110,2,105,2019-10-05,1.34,46,281,0,
5725538,Wonderful apartment in the hearth of Oltrarno!!,129216,Cristina,,Centro Storico,43.76501,11.24689,Entire home/apt,140,3,70,2021-07-26,0.91,12,123,4,
5725753,Castellani Apartment,5700221,Federico,,Centro Storico,43.76917,11.25697,Entire home/apt,92,2,129,2021-08-31,1.63,46,237,1,
5731482,PONTE VECCHIO,4350019,Alessio,,Centro Storico,43.76968,11.25299,Entire home/apt,100,3,26,2019-11-05,0.63,1,276,0,
5731581,Ponte Vecchio Terrace,5967101,Marusca  E Marta,,Centro Storico,43.76864,11.25324,Entire home/apt,99,3,94,2020-08-31,1.19,2,341,0,
5732176,monolocale,29723832,Marcela,,Centro Storico,43.77344,11.24636,Entire home/apt,65,1,11,2018-07-07,0.19,3,233,0,
5732355,Appartamento centro firenze,29724738,Riccardo,,Centro Storico,43.77073,11.24134,Private room,50,10,0,,,1,364,0,
5737345,M&B HOUSE 3 - Center of Florence,14202055,M&B Florence,,Centro Storico,43.78136,11.24471,Private room,36,2,380,2021-10-18,4.79,7,82,29,
5737475,M&B HOUSE 2 - Center of Florence,14202055,M&B Florence,,Centro Storico,43.77958,11.24476,Private room,33,1,403,2021-10-09,5.12,7,82,39,
5741330,Attic in the heart of Firenze,14215932,Ilaria,,Centro Storico,43.76946,11.26059,Entire home/apt,99,2,146,2019-09-23,2.07,1,3,0,
5744926,New !Homey Alfani lodging .,16825549,Chiara,,Centro Storico,43.77588,11.2593,Entire home/apt,70,3,87,2021-08-20,1.19,2,352,3,
5745043,Quiet Apt + garage next to the historic center,4263546,Chiara,,Centro Storico,43.78001,11.23956,Entire home/apt,82,2,484,2021-08-11,6.13,22,338,38,048017LTN0114
5745582,"Apartment, Close to Center, 2 Bedroom 2Bathroom x°",9661617,Luigi,,Isolotto Legnaia,43.77428,11.23356,Entire home/apt,200,4,87,2018-12-30,1.13,1,177,0,
5746335,100m. piazza Signoria apartment,29805955,Riccardo,,Centro Storico,43.76752,11.25771,Entire home/apt,90,2,12,2018-01-02,0.55,1,300,0,
5752196,Horti Annalenae,29841822,Anna E Isabella,,Centro Storico,43.7629,11.24505,Entire home/apt,185,2,221,2021-10-12,2.82,2,207,11,
5752465,Charme room with private bathroom,3543667,Tamara,,Centro Storico,43.76763,11.244,Private room,50,5,21,2019-07-07,0.34,5,171,0,
5753241,Lamarmora Apartment | Florence City Center,27158459,Clarissa,,Centro Storico,43.78122,11.26076,Entire home/apt,65,2,103,2021-09-12,1.34,1,258,7,
5753812,CHARMING AND QUAINT APARTMENT,21389140,Claudia,,Centro Storico,43.77782,11.25275,Entire home/apt,30,1,182,2019-06-11,2.30,1,0,0,
5755842,Deliziosa Casina Ponte Vecchio,29858935,Tommaso,,Centro Storico,43.76531,11.25532,Entire home/apt,35,365,68,2017-06-10,0.85,1,364,0,
5756691,Large comfy room in the centre of Florence,29862464,Giovanni,,Centro Storico,43.77924,11.25842,Private room,83,2,0,,,1,353,0,
5757233,"Luxury apartment , near the center",29864774,Anisia,,Centro Storico,43.75879,11.2412,Entire home/apt,59,1,1,2015-08-07,0.01,2,0,0,
5757794,LUXURY APT IN THE CITY CENTER,10170058,Martina,,Centro Storico,43.76737,11.25128,Entire home/apt,108,2,127,2021-09-30,1.63,1,334,7,
5758244,JOY OF FLORENCE  Double Room in a designer home,2778242,Fiamma,,Centro Storico,43.7614,11.2393,Private room,30,1,114,2019-03-10,1.90,1,0,0,
